id_usuario1,apellido1,nombre1,correo1,sexo1,id_pagos,monto,id_usuario2,apellido2,nombre2,correo2,sexo2
1,AGUILLÓN,JUAN JOSÉ ARTURO,jjaguillon@uc.cl,M,0,68350,143,S/A,Shop 'n Save,parents@yahoo.ca,No Aplica
0,ABUSLEME,RAFAEL ANTONIO,raabusleme@uc.cl,M,1,68350,145,S/A,Latina Pizza,hamilton@hotmail.com,No Aplica
8,ARELLANO,PAULA FABIOLA,pfarellano@uc.cl,M,2,28812,141,S/A,Tom Bradley Airport,burns@msn.com,No Aplica
7,APABLAZA,FELIPE EDUARDO,feapablaza@uc.cl,F,3,68350,145,S/A,Latina Pizza,hamilton@hotmail.com,No Aplica
14,BARRÍA,FELIPE RAÚL,frbarria@uc.cl,M,4,60787,159,S/A,Remember When,msusa@live.com,No Aplica
11,BAEZA,IGNACIA,ibaeza1@uc.cl,F,5,48667,153,S/A,Luigi's Pizzeria,mcrawfor@sbcglobal.net,No Aplica
0,ABUSLEME,RAFAEL ANTONIO,raabusleme@uc.cl,M,6,90754,149,S/A,Pierogies Plus,ullman@optonline.net,No Aplica
8,ARELLANO,PAULA FABIOLA,pfarellano@uc.cl,M,7,60787,150,S/A,Marge's Place,wkrebs@att.net,No Aplica
15,BARRIENTOS,FELIPE ANTONIO,fnbarrientos@uc.cl,M,8,68350,145,S/A,Latina Pizza,hamilton@hotmail.com,No Aplica
0,ABUSLEME,RAFAEL ANTONIO,raabusleme@uc.cl,M,9,48667,151,S/A,Applebee's,nullchar@verizon.net,No Aplica
18,BERRIOS,FELIPE ALBERTO,faberrios@uc.cl,M,10,94563,154,S/A,Donald's,gslondon@att.net,No Aplica
1,AGUILLÓN,JUAN JOSÉ ARTURO,jjaguillon@uc.cl,M,11,38452,146,S/A,Bellisario Pizza Shop,jimxugle@live.com,No Aplica
19,BUGMANN,JOAQUÍN ALBERTO,jabugmann@uc.cl,M,12,68037,141,S/A,Tom Bradley Airport,burns@msn.com,No Aplica
0,ABUSLEME,RAFAEL ANTONIO,raabusleme@uc.cl,M,13,48667,155,S/A,China Sea Chinese Restaurant,matloff@verizon.net,No Aplica
